Arrondissement;Adresse;Type de réserve;CP;VILLE;longitude;latitude;result_score;result_score_next;result_label;result_type;result_id;result_housenumber;result_name;result_street;result_postcode;result_city;result_context;result_citycode;result_oldcitycode;result_oldcity;result_district;result_status
8e;5 rue Alfred de Vigny;LS 100-60;75008;Paris;2.30504;48.878708;0.9637072727272727;;5 Rue Alfred de Vigny 75008 Paris;housenumber;75108_0179_00005;5;5 Rue Alfred de Vigny;Rue Alfred de Vigny;75008;Paris;75, Paris, Île-de-France;75108;;;Paris 8e Arrondissement;ok
8e;75-77 rue d'Amsterdam;LS 100-100;75008;Paris;2.327003;48.881731;0.8843554545454544;0.6249272248803828;77 Rue d'Amsterdam 75008 Paris;housenumber;75108_0300_00077;77;77 Rue d'Amsterdam;Rue d'Amsterdam;75008;Paris;75, Paris, Île-de-France;75108;;;Paris 8e Arrondissement;ok
8e;18 rue de l'Arcade;LS 100-100;75008;Paris;2.323807;48.871908;0.9694927272727271;0.38852272727272724;18 Rue de l'Arcade 75008 Paris;housenumber;75108_0411_00018;18;18 Rue de l'Arcade;Rue de l'Arcade;75008;Paris;75, Paris, Île-de-France;75108;;;Paris 8e Arrondissement;ok
8e;32 rue de l'Arcade;LS 100-100;75008;Paris;2.324165;48.872786;0.9694927272727271;0.38852272727272724;32 Rue de l'Arcade 75008 Paris;housenumber;75108_0411_00032;32;32 Rue de l'Arcade;Rue de l'Arcade;75008;Paris;75, Paris, Île-de-France;75108;;;Paris 8e Arrondissement;ok
8e;36 rue de l'Arcade;LS 100-100;75008;Paris;2.324271;48.873046;0.9694927272727271;0.38852272727272724;36 Rue de l'Arcade 75008 Paris;housenumber;75108_0411_00036;36;36 Rue de l'Arcade;Rue de l'Arcade;75008;Paris;75, Paris, Île-de-France;75108;;;Paris 8e Arrondissement;ok
8e;8 rue de l'Arcade;LS 100-100;75008;Paris;2.323521;48.871208;0.9694927272727271;0.39577611218568665;8 Rue de l'Arcade 75008 Paris;housenumber;75108_0411_00008;8;8 Rue de l'Arcade;Rue de l'Arcade;75008;Paris;75, Paris, Île-de-France;75108;;;Paris 8e Arrondissement;ok
8e;5 rue Chauveau Lagarde;LS 100-100;75008;Paris;2.323679;48.871272;0.9648490909090909;;5 Rue Chauveau-Lagarde 75008 Paris;housenumber;75108_1955_00005;5;5 Rue Chauveau-Lagarde;Rue Chauveau-Lagarde;75008;Paris;75, Paris, Île-de-France;75108;;;Paris 8e Arrondissement;ok
8e;11 rue d'Argenson;LS 100-60;75008;Paris;2.316596;48.874853;0.9637072727272727;;11 Rue d'Argenson 75008 Paris;housenumber;75108_0431_00011;11;11 Rue d'Argenson;Rue d'Argenson;75008;Paris;75, Paris, Île-de-France;75108;;;Paris 8e Arrondissement;ok
8e;42 rue de Bassano;LS 35-35;75008;Paris;2.299068;48.870381;0.9661572727272726;;42 Rue de Bassano 75008 Paris;housenumber;75108_0703_00042;42;42 Rue de Bassano;Rue de Bassano;75008;Paris;75, Paris, Île-de-France;75108;;;Paris 8e Arrondissement;ok
8e;28 rue de la Baume;LS 100-100;75008;Paris;2.314047;48.874774;0.9676045454545453;;28 Rue de la Baume 75008 Paris;housenumber;75108_5190_00028;28;28 Rue de la Baume;Rue de la Baume;75008;Paris;75, Paris, Île-de-France;75108;;;Paris 8e Arrondissement;ok
8e;11 avenue Percier;LS 100-100;75008;Paris;2.314217;48.87472;0.9640199999999999;;11 Avenue Percier 75008 Paris;housenumber;75108_7250_00011;11;11 Avenue Percier;Avenue Percier;75008;Paris;75, Paris, Île-de-France;75108;;;Paris 8e Arrondissement;ok
